,CP,Calle,CentroComercial,Clase_actividad,Colonia,Correo_e,Estrato,Id,Latitud,Longitud,Nombre,NumLocal,Num_Exterior,Num_Interior,Razon_social,Sitio_internet,Telefono,Tipo,TipoCentroComercial,Tipo_vialidad,Ubicacion
0,03840,GEORGIA,,Restaurantes que preparan otro tipo de alimentos para llevar,AMPLIACION NAPOLES,,6 a 10 personas,875319,19.38811878,-99.17924278,CHAMBELLE NATURALISSIMO,,158,,"GRUPO CHAMBELLE, S.A. DE C.V.",WWW.CHAMBELLENATURALISSIMO.COM,5556829511,Fijo,,CALLE,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO"
1,03810,INDIANA,,Restaurantes con servicio de preparación de antojitos,NÁPOLES,,0 a 5 personas,932053,19.38859173,-99.17958739,SAZÓN MEXICANO,,193,,,,5555239535,Fijo,,CALLE,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO"
2,03810,"GEORGIA, ESQ. PENSILVANIA",,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",NAPOLES,,11 a 30 personas,6313034,19.38852564,-99.17813091,DOMINO S PIZZA,,120,,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,WWW.DOMINOS.COM.MX,018003664667,Fijo,,CALLE,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO"
3,03810,GEORGIA,,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",NÁPOLES,INFO@GIANCARLOPIZZA.COM,6 a 10 personas,869243,19.38868456,-99.17805169,GIAN CARLO PIZZA,,123,,,WWW.GIANCARLOPIZZA.COM,5555239703,Fijo,,CALLE,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO"
4,03810,PENNSYLVANIA,,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,NÁPOLES,,6 a 10 personas,870908,19.38838872,-99.17767122,NONSOLO,,190,,,WWW.NONSOLO.MX,5556870495,Fijo,,CALLE,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO"
5,03810,PENNSYLVANIA,,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,NÁPOLES,CHINAINN182@LIVE.COM,6 a 10 personas,870899,19.38863639,-99.17777077,CHINA INN,,182,,,,5555362474,Fijo,,CALLE,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO"
6,03810,PENNSYLVANIA,,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,NÁPOLES,,6 a 10 personas,870931,19.38776568,-99.17742081,BAR CALAFATE,,206,,"STEAK HOUSE & BAR, S.A. DE C.V.",,5556877122,Fijo,,CALLE,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO"
7,03810,DAKOTA,,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,NAPOLES,LABIELANAPOLES@GMAIL.COM,11 a 30 personas,6201272,19.38957851,-99.17852324,RESTAURANTE ARGENTINO LA BIELA,,305,,CORPORATIVO LA BIELA,,11076549,Fijo,,CALLE,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO"
8,03810,PENNSYLVANIA,,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,NAPOLES,POTZOLLCALLI.PENSYL@GMAIL.COM,0 a 5 personas,6697132,19.38761092,-99.17735836,POTZOTCCALLI,,214,,"GLOMAGRA, S.A. DE C.V.",,5555365320,Fijo,,CALLE,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO"
9,03840,PENNSYLVANIA,,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,AMPLIACIÓN NÁPOLES,,6 a 10 personas,871003,19.38732864,-99.17737403,RISTORANTE NABUCCO,,215,,"GRUPO GOBERA S, R.L. DE C.V.",,5541675079,Fijo,,CALLE,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO"
10,03810,PENNSYLVANIA,,Restaurantes con servicio de preparación de antojitos,NÁPOLES,,0 a 5 personas,870949,19.38751867,-99.17732326,ANTOJERÍA LOS HUARACHES DE ALE,,214,,,,5555365977,Fijo,,CALLE,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO"
