,created_time,id,message
0,2019-05-08T06:06:00+0000,10218552285255958_10218563762062871,
1,2019-05-07T14:52:37+0000,10218552285255958_10218558551052599,Cumbias cósmicas
2,2019-05-04T05:43:18+0000,10218552285255958_10218531463495427,Y así fue como llegué a México.. 😂
3,2019-04-29T04:23:03+0000,10218552285255958_10218494338647329,
4,2019-04-29T04:15:10+0000,10218552285255958_10218494320046864,
5,2019-04-29T02:54:22+0000,10218552285255958_10218493922356922,
6,2019-04-25T02:19:14+0000,10218552285255958_10218462562612948,Un trabajo donde debas planchar tu camisa el día antes no vale la pena ☹️
7,2019-04-20T18:27:59+0000,10218552285255958_10218427778223360,
8,2019-04-19T21:41:58+0000,10218552285255958_10218421025774553,
9,2019-04-19T20:58:22+0000,10218552285255958_10218420792168713,1 galón de chela por favor para el sediento..
10,2019-04-19T20:20:55+0000,10218552285255958_10218420593363743,Quiero morir ahogado en uno de estos estanques...
11,2019-04-17T00:19:26+0000,10218552285255958_10218400277455858,
12,2019-04-14T16:31:44+0000,10218552285255958_10218383148907655,Buffet de chilaquiles!! 🤤
13,2019-04-07T02:37:49+0000,10218552285255958_10218329867855662,
14,2019-04-03T02:16:25+0000,10218552285255958_10218301980598498,Juguemos a algo: ustedes me depositan a mi cuenta y yo adivino quien fue
15,2019-04-01T23:31:26+0000,10218552285255958_10218293679150967,Me parece que están demasiado sonrientes hoy. 😒
16,2019-03-21T02:33:22+0000,10218552285255958_10218206417649484,🤔
17,2019-03-09T03:30:33+0000,10218552285255958_10218124099231575,
18,2019-03-03T14:30:05+0000,10218552285255958_10218083056205525,
19,2019-02-18T01:04:06+0000,10218552285255958_10217978233585025,https://www.youtube.com/watch?v=TSU8CdnH_b8
20,2019-01-18T19:33:20+0000,10218552285255958_10217739823264916,"Si voy a morir, que sea comiendo."
21,2019-01-02T17:12:36+0000,10218552285255958_10217621666031059,Ya no soy nini.
22,2018-12-31T21:12:28+0000,10218552285255958_10217606036480330,
23,2018-12-31T03:56:44+0000,10218552285255958_10217600432580236,😭
24,2018-12-19T02:55:46+0000,10218552285255958_10217509320662495,
25,2018-12-17T02:05:23+0000,10218552285255958_10217495115787382,Sabes que ya eres mexicano cuando quieres que chingue su madre el América 🤗
26,2018-12-13T17:32:56+0000,10218552285255958_10217470688536716,Por cosas como esta sigo sin trabajar aún ☺️
27,2018-12-12T02:28:07+0000,10218552285255958_10217458921282542,
28,2018-12-03T03:19:33+0000,10218552285255958_10217393434365410,
29,2018-11-29T20:52:28+0000,10218552285255958_10217366990184322,Motherfuckers..
30,2018-11-25T16:36:22+0000,10218552285255958_10217336105372221,Primer vecino puteado. Ya me había estado demorando mucho.🤗
31,2018-11-16T01:26:40+0000,10218552285255958_10217265813094958,Encargado de ciberseguridad de Japón admite que nunca ha usado un computador en su vida.🤔
32,2018-11-06T01:02:03+0000,10218552285255958_10217193380644192,💁‍♂️
33,2018-10-31T22:42:37+0000,10218552285255958_10217156549323432,Mi trabajo yo boté. Pa'l carajo lo mandé
34,2018-10-13T19:54:51+0000,10218552285255958_10217026384789400,
35,2018-09-28T22:11:52+0000,10218552285255958_10216898360028861,Cuando no te importa nada. Versión: camión de la basura en CDMX
36,2018-09-21T19:24:44+0000,10218552285255958_10216837283701991,Tuve una junta. No me esperen en la oficina 🤗
37,2018-09-16T20:19:43+0000,10218552285255958_10216795092527238,volkswagen.zip
38,2018-09-07T16:02:51+0000,10218552285255958_10216713328323184,Iphone explosivo 🤔
39,2018-08-31T21:27:49+0000,10218552285255958_10216659138208465,"""Yo no me acuerdo, no me acuerdo. Y si no me acuerdo no pasó""."
40,2018-08-30T23:50:00+0000,10218552285255958_10216652867571703,
41,2018-08-15T16:21:00+0000,10218552285255958_10216525750833864,Si su correo aparece en la base de datos de esta página es momento de cambiar la clave ahora !!!. 😏
42,2018-08-10T06:17:05+0000,10218552285255958_10216479845046248,¿Por qué no se me ocurrió antes esto ?
43,2018-07-29T19:23:52+0000,10218552285255958_10216379495457571,Jamás podré decir ferrocarril 😔
44,2018-07-25T15:44:45+0000,10218552285255958_10216342972144511,
45,2018-07-14T16:28:26+0000,10218552285255958_10216254553654104,Hoy en cocinando con Javier : salsas
46,2018-07-07T01:58:09+0000,10218552285255958_10216193197640242,Yann Tiersen ♥️
47,2018-07-06T19:04:07+0000,10218552285255958_10216190848301510,A Tite lo entierran hoy...
48,2018-06-26T19:46:54+0000,10218552285255958_10216112833271183,"Porque si el jefe ve el partido, todos vemos el partido con él"
49,2018-06-24T02:59:22+0000,10218552285255958_10216091500377874,Sólo le quitaría el mole
50,2018-06-18T07:08:57+0000,10218552285255958_10216045789075120,
51,2018-06-18T02:02:06+0000,10218552285255958_10216044538563858,
52,2018-06-17T16:51:05+0000,10218552285255958_10216040614385756,Siempre creí en ti México...🙄
53,2018-06-17T14:09:15+0000,10218552285255958_10216039319033373,
54,2018-06-16T03:34:22+0000,10218552285255958_10216028486882576,"Toluca, ese lugar que vende alcohol hasta las 10pm en Viernes"
55,2018-06-15T20:07:14+0000,10218552285255958_10216025693492743,
56,2018-06-13T03:06:04+0000,10218552285255958_10216006574974792,https://twitter.com/Santiago_Arau/status/1006391151937519616?s=20
57,2018-05-27T02:49:56+0000,10218552285255958_10215879715403382,
58,2018-05-26T18:02:37+0000,10218552285255958_10215876572884821,
59,2018-05-15T02:49:56+0000,10218552285255958_10215797122218604,🙄
60,2018-04-27T03:15:38+0000,10218552285255958_10215664405060758,😌
61,2018-04-25T01:51:19+0000,10218552285255958_10215649773494978,🙄
62,2018-04-22T02:06:39+0000,10218552285255958_10215629479387638,"Nota mental 1: nunca más vivir cerca de un estadio.

Nota mental 2: nunca más vivir al lado de un lugar que venda cerveza cerca de un estadio.

Lo bueno es que van a demoler el estadio, lo malo es que debiesen demolerlo con todos sus fanáticos adentro"
63,2018-04-12T03:45:49+0000,10218552285255958_10215560653667038,Tráiganme a una como ella ♥️
64,2018-04-08T20:52:28+0000,10218552285255958_10215534735339096,Ahora sí quedo ciego 😒
65,2018-04-07T19:55:38+0000,10218552285255958_10215526953384552,
66,2018-04-07T00:30:29+0000,10218552285255958_10215521557529659,
67,2018-04-06T20:41:11+0000,10218552285255958_10215520091613012,Javi seal of approval
