,BIEN_SERVICIO,COSTO_BIEN,ESTADO_PROCESAL,ESTADO_UA,FECHA_FIN,FECHA_INGRESO,GIRO,ID_EXP,MEDIO_INGRESO,MODALIDAD_COMPRA,MODALIDAD_PAGO,MOTIVO_RECLAMACION,NOMBRE_COMERCIAL,PROBLEMA_ESPECIAL,PROCEDIMIENTO,PROVEEDOR,RECLAMADO,RECUPERADO,SECTOR,TIPO_CONCILIACION,TIPO_PRODUCTO,TIPO_RECLAMACION,UA
0,Bien,38000,Conciliada,DISTRITO FEDERAL,15-08-2016,31-12-2015,Tienda especializada en cocinas integrales,2015_139465,Personal,En establecimiento físico,Plazos,Negativa a cambio o devolución,MA. ELENA SORIA ORTEGA,No problema especial,Queja,MA. ELENA SORIA ORTEGA,0,5000,TIENDA ESPECIALIZADA EN COCINAS INTEGRALES,Turnada a Concil Person p/seg,Producto nuevo,"Cambios, devoluciones o bonificaciones",Sur
1,Bien,750,Conciliada,DISTRITO FEDERAL,26-02-2016,31-12-2015,Tienda especializada en productos electrónicos,2015_137727,Escrito,En establecimiento físico,Contado,Descripción del producto o servicio,PROMOTORA ELECTRODOMESTICA SERVICIO REFACCIONES VENTA Y REPARACION,No problema especial,Queja,PROMOTORA ELECTRODOMESTICA SERVICIO REFACCIONES VENTA Y REPARACION,525,750,TIENDA ESPECIALIZADA EN PRODUCTOS ELECTRÓNICOS,Turnada a Concil Person p/seg,Producto nuevo,Ausencia de Información al consumidor sobre el producto o servicio,Oriente
2,Bien,44480,Conciliada,DISTRITO FEDERAL,09-02-2016,31-12-2015,Mueblería,2015_139464,Personal,En establecimiento físico,Contado,Negativa a la rescisión del contrato,"DIVERSIDAD PARA EL HOGAR, SA DE CV",No problema especial,Queja,"DIVERSIDAD PARA EL HOGAR, SA DE CV",44480,44480,MUEBLERO,Turnada a Concil Person p/seg,Producto nuevo,Contratos,Sur
3,Servicio,1816.35,Conciliada,DISTRITO FEDERAL,21-04-2016,31-12-2015,Montepío o casa de empeño,2015_138099,Personal,En establecimiento físico,Plazos,Incumplimiento de plazos para la entrega del prod. o serv.,MONTEPIO LUZ SAVIÑÓN,No problema especial,Queja,"MONTEPIO LUZ SAVIÑON, IAP",0,1816,MONTEPÍO O CASA DE EMPEÑO,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Poniente
4,Servicio,160000,Conciliada,DISTRITO FEDERAL,02-06-2016,31-12-2015,Compañía de autofinanciamiento,2015_138100,Personal,En establecimiento físico,Contado,Negativa a la rescisión del contrato,"AUTOCLUB AUTOFINANCIAMIENTO, SA DE CV",No problema especial,Queja,"AUTOCLUB AUTOFINANCIAMIENTO, SA DE CV",10000,10000,COMPAÑÍA DE AUTOFINANCIAMIENTO,Turnada a Concil Person p/seg,Producto nuevo,Contratos,Poniente
5,Bien,5615,Conciliada,DISTRITO FEDERAL,30-12-2015,30-12-2015,Empresa de telemarketing,2015_137717,Escrito,En establecimiento físico,Contado,Negativa a cambio o devolución,DIRECTRA,No problema especial,Queja,"DIRECTRA, SA DE CV",5615,5615,EMPRESA DE TELEMARKETING,Turnada a Concil Telefónica,Producto nuevo,"Cambios, devoluciones o bonificaciones",Oriente
6,Servicio,500000,Conciliada,DISTRITO FEDERAL,15-04-2016,30-12-2015,Compañía de autofinanciamiento,2015_137720,Escrito,A domicilio,Contado,Descripción del producto o servicio,"PLANEA TU BIEN, SA DE CV",No problema especial,Queja,"PLANEA TU BIEN, SA DE CV",573382.92,573382.92,COMPAÑÍA DE AUTOFINANCIAMIENTO,Turnada a Concil Person p/seg,Servicio normal,Ausencia de Información al consumidor sobre el producto o servicio,Oriente
7,Servicio,500000,Conciliada,DISTRITO FEDERAL,15-04-2016,30-12-2015,Gestoría,2015_137720,Escrito,A domicilio,Contado,Descripción del producto o servicio,"KESAFIM, S DE RL DE CV",No problema especial,Queja,"KESAFIM, S DE RL DE CV",573382.92,573382.92,GESTORÍA,Turnada a Concil Person p/seg,Servicio normal,Ausencia de Información al consumidor sobre el producto o servicio,Oriente
8,Bien,8200,Conciliada,DISTRITO FEDERAL,12-04-2016,30-12-2015,Tapicería de muebles,2015_139457,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,PROPIETARIO DE TAPICERIA BARRAGAN,No problema especial,Queja,PROPIETARIO DE TAPICERIA BARRAGAN,0,8200,TAPICERÍA DE MUEBLES,Turnada a Concil Person p/seg,Producto usado,Entrega del producto o servicio,Sur
9,Bien,8200,Conciliada,DISTRITO FEDERAL,12-04-2016,30-12-2015,Tapicería de muebles,2015_139457,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,JOSE CHAVEZ,No problema especial,Queja,JOSE CHAVEZ,0,8200,TAPICERÍA DE MUEBLES,Turnada a Concil Person p/seg,Producto usado,Entrega del producto o servicio,Sur
